county,precinct,office,district,candidate,party,votes,,,,
Yates,Italy,U.S. Senate,,John Mangelli,CSP,3,,,,
Yates,Jerusalem 1,U.S. Senate,,John Mangelli,CSP,0,,,,
Yates,Jerusalem 2,U.S. Senate,,John Mangelli,CSP,4,,,,
Yates,Jerusalem 3,U.S. Senate,,John Mangelli,CSP,6,,,,
Yates,Jerusalem 4,U.S. Senate,,John Mangelli,CSP,1,,,,
Yates,Middlesex,U.S. Senate,,John Mangelli,CSP,2,,,,
Yates,Milo 2,U.S. Senate,,John Mangelli,CSP,4,,,,
Yates,Milo 3,U.S. Senate,,John Mangelli,CSP,5,,,,
Yates,Milo 4,U.S. Senate,,John Mangelli,CSP,2,,,,
Yates,Milo 5,U.S. Senate,,John Mangelli,CSP,8,,,,
Yates,Milo 6,U.S. Senate,,John Mangelli,CSP,0,,,,
Yates,Potter,U.S. Senate,,John Mangelli,CSP,3,,,,
Yates,Starkey 1,U.S. Senate,,John Mangelli,CSP,5,,,,
Yates,Starkey 2,U.S. Senate,,John Mangelli,CSP,7,,,,
Yates,Torrey,U.S. Senate,,John Mangelli,CSP,2,,,,
Yates,Total,U.S. Senate,,John Mangelli,CSP,55,,,,
Yates,Barrington,U.S. Senate,,Write -In,,1,,,,
Yates,Benton 1,U.S. Senate,,Write -In,,0,,,,
Yates,Benton 2,U.S. Senate,,Write -In,,0,,,,
Yates,Italy,U.S. Senate,,Write -In,,0,,,,
Yates,Jerusalem 1,U.S. Senate,,Write -In,,0,,,,
Yates,Jerusalem 2,U.S. Senate,,Write -In,,0,,,,
Yates,Jerusalem 3,U.S. Senate,,Write -In,,0,,,,
Yates,Jerusalem 4,U.S. Senate,,Write -In,,0,,,,
Yates,Middlesex,U.S. Senate,,Write -In,,1,,,,
Yates,Milo 2,U.S. Senate,,Write -In,,0,,,,
Yates,Milo 3,U.S. Senate,,Write -In,,0,,,,
Yates,Milo 4,U.S. Senate,,Write -In,,0,,,,
Yates,Milo 5,U.S. Senate,,Write -In,,0,,,,
Yates,Milo 6,U.S. Senate,,Write -In,,0,,,,
Yates,Potter,U.S. Senate,,Write -In,,1,,,,
Yates,Starkey 1,U.S. Senate,,Write -In,,0,,,,
Yates,Starkey 2,U.S. Senate,,Write -In,,0,,,,
Yates,Torrey,U.S. Senate,,Write -In,,0,,,,
Yates,Total,U.S. Senate,,Write -In,,3,,,,
Yates,Barrington,U.S. House,23,Nate Shinagawa,DEM,206,,,,
Yates,Benton 1,U.S. House,23,Nate Shinagawa,DEM,145,,,,
Yates,Benton 2,U.S. House,23,Nate Shinagawa,DEM,246,,,,
Yates,Italy,U.S. House,23,Nate Shinagawa,DEM,157,,,,
Yates,Jerusalem 1,U.S. House,23,Nate Shinagawa,DEM,247,,,,
Yates,Jerusalem 2,U.S. House,23,Nate Shinagawa,DEM,159,,,,
Yates,Jerusalem 3,U.S. House,23,Nate Shinagawa,DEM,184,,,,
Yates,Jerusalem 4,U.S. House,23,Nate Shinagawa,DEM,229,,,,
Yates,Middlesex,U.S. House,23,Nate Shinagawa,DEM,237,,,,
Yates,Milo 2,U.S. House,23,Nate Shinagawa,DEM,286,,,,
Yates,Milo 3,U.S. House,23,Nate Shinagawa,DEM,228,,,,
Yates,Milo 4,U.S. House,23,Nate Shinagawa,DEM,116,,,,
Yates,Milo 5,U.S. House,23,Nate Shinagawa,DEM,236,,,,
Yates,Milo 6,U.S. House,23,Nate Shinagawa,DEM,245,,,,
Yates,Potter,U.S. House,23,Nate Shinagawa,DEM,151,,,,
Yates,Starkey 1,U.S. House,23,Nate Shinagawa,DEM,186,,,,
Yates,Starkey 2,U.S. House,23,Nate Shinagawa,DEM,220,,,,
Yates,Torrey,U.S. House,23,Nate Shinagawa,DEM,249,,,,
Yates,Total,U.S. House,23,Nate Shinagawa,DEM,3727,,,,
Yates,Barrington,U.S. House,23,"Thomas W Reed, II",REP,221,,,,
Yates,Benton 1,U.S. House,23,"Thomas W Reed, II",REP,196,,,,
Yates,Benton 2,U.S. House,23,"Thomas W Reed, II",REP,229,,,,
Yates,Italy,U.S. House,23,"Thomas W Reed, II",REP,216,,,,
Yates,Jerusalem 1,U.S. House,23,"Thomas W Reed, II",REP,230,,,,
Yates,Jerusalem 2,U.S. House,23,"Thomas W Reed, II",REP,199,,,,
Yates,Jerusalem 3,U.S. House,23,"Thomas W Reed, II",REP,180,,,,
Yates,Jerusalem 4,U.S. House,23,"Thomas W Reed, II",REP,199,,,,
Yates,Middlesex,U.S. House,23,"Thomas W Reed, II",REP,354,,,,
Yates,Milo 2,U.S. House,23,"Thomas W Reed, II",REP,222,,,,
Yates,Milo 3,U.S. House,23,"Thomas W Reed, II",REP,206,,,,
Yates,Milo 4,U.S. House,23,"Thomas W Reed, II",REP,190,,,,
Yates,Milo 5,U.S. House,23,"Thomas W Reed, II",REP,206,,,,
Yates,Milo 6,U.S. House,23,"Thomas W Reed, II",REP,266,,,,
Yates,Potter,U.S. House,23,"Thomas W Reed, II",REP,330,,,,
Yates,Starkey 1,U.S. House,23,"Thomas W Reed, II",REP,271,,,,
Yates,Starkey 2,U.S. House,23,"Thomas W Reed, II",REP,265,,,,
Yates,Torrey,U.S. House,23,"Thomas W Reed, II",REP,206,,,,
Yates,Total,U.S. House,23,"Thomas W Reed, II",REP,4186,,,,
Yates,Barrington,U.S. House,23,"Thomas W Reed, II",CON,22,,,,
Yates,Benton 1,U.S. House,23,"Thomas W Reed, II",CON,21,,,,
Yates,Benton 2,U.S. House,23,"Thomas W Reed, II",CON,21,,,,
Yates,Italy,U.S. House,23,"Thomas W Reed, II",CON,36,,,,
Yates,Jerusalem 1,U.S. House,23,"Thomas W Reed, II",CON,34,,,,
Yates,Jerusalem 2,U.S. House,23,"Thomas W Reed, II",CON,24,,,,
Yates,Jerusalem 3,U.S. House,23,"Thomas W Reed, II",CON,44,,,,
Yates,Jerusalem 4,U.S. House,23,"Thomas W Reed, II",CON,21,,,,
Yates,Middlesex,U.S. House,23,"Thomas W Reed, II",CON,54,,,,
Yates,Milo 2,U.S. House,23,"Thomas W Reed, II",CON,38,,,,
Yates,Milo 3,U.S. House,23,"Thomas W Reed, II",CON,21,,,,
Yates,Milo 4,U.S. House,23,"Thomas W Reed, II",CON,22,,,,
Yates,Milo 5,U.S. House,23,"Thomas W Reed, II",CON,25,,,,
Yates,Milo 6,U.S. House,23,"Thomas W Reed, II",CON,33,,,,
Yates,Potter,U.S. House,23,"Thomas W Reed, II",CON,55,,,,
Yates,Starkey 1,U.S. House,23,"Thomas W Reed, II",CON,32,,,,
Yates,Starkey 2,U.S. House,23,"Thomas W Reed, II",CON,31,,,,
Yates,Torrey,U.S. House,23,"Thomas W Reed, II",CON,29,,,,
Yates,Total,U.S. House,23,"Thomas W Reed, II",CON,563,,,,
Yates,Barrington,U.S. House,23,Nate Shinagawa,WF,21,,,,
Yates,Benton 1,U.S. House,23,Nate Shinagawa,WF,17,,,,
Yates,Benton 2,U.S. House,23,Nate Shinagawa,WF,21,,,,
Yates,Italy,U.S. House,23,Nate Shinagawa,WF,33,,,,
Yates,Jerusalem 1,U.S. House,23,Nate Shinagawa,WF,12,,,,
Yates,Jerusalem 2,U.S. House,23,Nate Shinagawa,WF,14,,,,
Yates,Jerusalem 3,U.S. House,23,Nate Shinagawa,WF,18,,,,
Yates,Jerusalem 4,U.S. House,23,Nate Shinagawa,WF,15,,,,
Yates,Middlesex,U.S. House,23,Nate Shinagawa,WF,27,,,,
Yates,Milo 2,U.S. House,23,Nate Shinagawa,WF,22,,,,
Yates,Milo 3,U.S. House,23,Nate Shinagawa,WF,15,,,,
Yates,Milo 4,U.S. House,23,Nate Shinagawa,WF,13,,,,
Yates,Milo 5,U.S. House,23,Nate Shinagawa,WF,23,,,,
Yates,Milo 6,U.S. House,23,Nate Shinagawa,WF,8,,,,
Yates,Potter,U.S. House,23,Nate Shinagawa,WF,25,,,,
Yates,Starkey 1,U.S. House,23,Nate Shinagawa,WF,18,,,,
Yates,Starkey 2,U.S. House,23,Nate Shinagawa,WF,20,,,,
Yates,Torrey,U.S. House,23,Nate Shinagawa,WF,22,,,,
Yates,Total,U.S. House,23,Nate Shinagawa,WF,344,,,,
Yates,Barrington,U.S. House,23,"Thomas W Reed, II",IND,8,,,,
Yates,Benton 1,U.S. House,23,"Thomas W Reed, II",IND,9,,,,
Yates,Benton 2,U.S. House,23,"Thomas W Reed, II",IND,9,,,,
Yates,Italy,U.S. House,23,"Thomas W Reed, II",IND,15,,,,
Yates,Jerusalem 1,U.S. House,23,"Thomas W Reed, II",IND,7,,,,
Yates,Jerusalem 2,U.S. House,23,"Thomas W Reed, II",IND,7,,,,
Yates,Jerusalem 3,U.S. House,23,"Thomas W Reed, II",IND,16,,,,
Yates,Jerusalem 4,U.S. House,23,"Thomas W Reed, II",IND,6,,,,
Yates,Middlesex,U.S. House,23,"Thomas W Reed, II",IND,25,,,,
Yates,Milo 2,U.S. House,23,"Thomas W Reed, II",IND,3,,,,
Yates,Milo 3,U.S. House,23,"Thomas W Reed, II",IND,13,,,,
Yates,Milo 4,U.S. House,23,"Thomas W Reed, II",IND,2,,,,
Yates,Milo 5,U.S. House,23,"Thomas W Reed, II",IND,19,,,,
Yates,Milo 6,U.S. House,23,"Thomas W Reed, II",IND,6,,,,
Yates,Potter,U.S. House,23,"Thomas W Reed, II",IND,9,,,,
Yates,Starkey 1,U.S. House,23,"Thomas W Reed, II",IND,15,,,,
Yates,Starkey 2,U.S. House,23,"Thomas W Reed, II",IND,13,,,,
Yates,Torrey,U.S. House,23,"Thomas W Reed, II",IND,6,,,,
Yates,Total,U.S. House,23,"Thomas W Reed, II",IND,188,,,,
Yates,Barrington,U.S. House,23,Write -In,,4,,,,
Yates,Benton 1,U.S. House,23,Write -In,,0,,,,
Yates,Benton 2,U.S. House,23,Write -In,,0,,,,
Yates,Italy,U.S. House,23,Write -In,,1,,,,
Yates,Jerusalem 1,U.S. House,23,Write -In,,0,,,,
Yates,Jerusalem 2,U.S. House,23,Write -In,,1,,,,
Yates,Jerusalem 3,U.S. House,23,Write -In,,0,,,,
Yates,Jerusalem 4,U.S. House,23,Write -In,,0,,,,
Yates,Middlesex,U.S. House,23,Write -In,,1,,,,
Yates,Milo 2,U.S. House,23,Write -In,,0,,,,
Yates,Milo 3,U.S. House,23,Write -In,,0,,,,
Yates,Milo 4,U.S. House,23,Write -In,,0,,,,
Yates,Milo 5,U.S. House,23,Write -In,,0,,,,
Yates,Milo 6,U.S. House,23,Write -In,,0,,,,
Yates,Potter,U.S. House,23,Write -In,,1,,,,
Yates,Starkey 1,U.S. House,23,Write -In,,0,,,,
Yates,Starkey 2,U.S. House,23,Write -In,,0,,,,
Yates,Torrey,U.S. House,23,Write -In,,0,,,,
Yates,Total,U.S. House,23,Write -In,,8,,,,
Yates,Barrington,State Senate,58,Thomas F O'Mara,REP,303,,,,
Yates,Benton 1,State Senate,58,Thomas F O'Mara,REP,251,,,,
Yates,Benton 2,State Senate,58,Thomas F O'Mara,REP,314,,,,
Yates,Italy,State Senate,58,Thomas F O'Mara,REP,237,,,,
Yates,Jerusalem 1,State Senate,58,Thomas F O'Mara,REP,280,,,,
Yates,Jerusalem 2,State Senate,58,Thomas F O'Mara,REP,237,,,,
Yates,Jerusalem 3,State Senate,58,Thomas F O'Mara,REP,226,,,,
Yates,Jerusalem 4,State Senate,58,Thomas F O'Mara,REP,282,,,,
Yates,Middlesex,State Senate,58,Thomas F O'Mara,REP,412,,,,
Yates,Milo 2,State Senate,58,Thomas F O'Mara,REP,311,,,,
Yates,Milo 3,State Senate,58,Thomas F O'Mara,REP,278,,,,
Yates,Milo 4,State Senate,58,Thomas F O'Mara,REP,211,,,,
Yates,Milo 5,State Senate,58,Thomas F O'Mara,REP,288,,,,
Yates,Milo 6,State Senate,58,Thomas F O'Mara,REP,356,,,,
Yates,Potter,State Senate,58,Thomas F O'Mara,REP,390,,,,
Yates,Starkey 1,State Senate,58,Thomas F O'Mara,REP,308,,,,
Yates,Starkey 2,State Senate,58,Thomas F O'Mara,REP,340,,,,
Yates,Torrey,State Senate,58,Thomas F O'Mara,REP,297,,,,
Yates,Total,State Senate,58,Thomas F O'Mara,REP,5321,,,,
Yates,Barrington,State Senate,58,Thomas F O'Mara,CON,32,,,,
Yates,Benton 1,State Senate,58,Thomas F O'Mara,CON,30,,,,
Yates,Benton 2,State Senate,58,Thomas F O'Mara,CON,45,,,,
Yates,Italy,State Senate,58,Thomas F O'Mara,CON,50,,,,
Yates,Jerusalem 1,State Senate,58,Thomas F O'Mara,CON,46,,,,
Yates,Jerusalem 2,State Senate,58,Thomas F O'Mara,CON,28,,,,
Yates,Jerusalem 3,State Senate,58,Thomas F O'Mara,CON,45,,,,
Yates,Jerusalem 4,State Senate,58,Thomas F O'Mara,CON,25,,,,
Yates,Middlesex,State Senate,58,Thomas F O'Mara,CON,66,,,,
Yates,Milo 2,State Senate,58,Thomas F O'Mara,CON,49,,,,
Yates,Milo 3,State Senate,58,Thomas F O'Mara,CON,32,,,,
Yates,Milo 4,State Senate,58,Thomas F O'Mara,CON,26,,,,
Yates,Milo 5,State Senate,58,Thomas F O'Mara,CON,41,,,,
Yates,Milo 6,State Senate,58,Thomas F O'Mara,CON,40,,,,
Yates,Potter,State Senate,58,Thomas F O'Mara,CON,59,,,,
Yates,Starkey 1,State Senate,58,Thomas F O'Mara,CON,38,,,,
Yates,Starkey 2,State Senate,58,Thomas F O'Mara,CON,48,,,,
Yates,Torrey,State Senate,58,Thomas F O'Mara,CON,44,,,,
Yates,Total,State Senate,58,Thomas F O'Mara,CON,744,,,,
Yates,Barrington,State Senate,58,Thomas F O'Mara,IND,32,,,,
Yates,Benton 1,State Senate,58,Thomas F O'Mara,IND,34,,,,
Yates,Benton 2,State Senate,58,Thomas F O'Mara,IND,45,,,,
Yates,Italy,State Senate,58,Thomas F O'Mara,IND,45,,,,
Yates,Jerusalem 1,State Senate,58,Thomas F O'Mara,IND,31,,,,
Yates,Jerusalem 2,State Senate,58,Thomas F O'Mara,IND,30,,,,
Yates,Jerusalem 3,State Senate,58,Thomas F O'Mara,IND,38,,,,
Yates,Jerusalem 4,State Senate,58,Thomas F O'Mara,IND,36,,,,
Yates,Middlesex,State Senate,58,Thomas F O'Mara,IND,61,,,,
Yates,Milo 2,State Senate,58,Thomas F O'Mara,IND,44,,,,
Yates,Milo 3,State Senate,58,Thomas F O'Mara,IND,56,,,,
Yates,Milo 4,State Senate,58,Thomas F O'Mara,IND,20,,,,
Yates,Milo 5,State Senate,58,Thomas F O'Mara,IND,62,,,,
Yates,Milo 6,State Senate,58,Thomas F O'Mara,IND,30,,,,
Yates,Potter,State Senate,58,Thomas F O'Mara,IND,36,,,,
Yates,Starkey 1,State Senate,58,Thomas F O'Mara,IND,41,,,,
Yates,Starkey 2,State Senate,58,Thomas F O'Mara,IND,48,,,,
Yates,Torrey,State Senate,58,Thomas F O'Mara,IND,48,,,,
Yates,Total,State Senate,58,Thomas F O'Mara,IND,737,,,,
Yates,Barrington,State Senate,58,Write -In,,1,,,,
Yates,Benton 1,State Senate,58,Write -In,,0,,,,
Yates,Benton 2,State Senate,58,Write -In,,1,,,,
Yates,Italy,State Senate,58,Write -In,,1,,,,
Yates,Jerusalem 1,State Senate,58,Write -In,,3,,,,
Yates,Jerusalem 2,State Senate,58,Write -In,,1,,,,
Yates,Jerusalem 3,State Senate,58,Write -In,,0,,,,
Yates,Jerusalem 4,State Senate,58,Write -In,,0,,,,
Yates,Middlesex,State Senate,58,Write -In,,2,,,,
Yates,Milo 2,State Senate,58,Write -In,,1,,,,
Yates,Milo 3,State Senate,58,Write -In,,1,,,,
Yates,Milo 4,State Senate,58,Write -In,,0,,,,
Yates,Milo 5,State Senate,58,Write -In,,3,,,,
Yates,Milo 6,State Senate,58,Write -In,,0,,,,
Yates,Potter,State Senate,58,Write -In,,0,,,,
Yates,Starkey 1,State Senate,58,Write -In,,3,,,,
Yates,Starkey 2,State Senate,58,Write -In,,3,,,,
Yates,Torrey,State Senate,58,Write -In,,0,,,,
Yates,Total,State Senate,58,Write -In,,20,,,,
Yates,Barrington,State Assembly,132,hillip A Palmesano,,294,,,,
Yates,Benton 1,State Assembly,132,hillip A Palmesano,,258,,,,
Yates,Benton 2,State Assembly,132,hillip A Palmesano,,307,,,,
Yates,Italy,State Assembly,132,hillip A Palmesano,,238,,,,
Yates,Jerusalem 1,State Assembly,132,hillip A Palmesano,,286,,,,
Yates,Jerusalem 2,State Assembly,132,hillip A Palmesano,,235,,,,
Yates,Jerusalem 3,State Assembly,132,hillip A Palmesano,,226,,,,
Yates,Jerusalem 4,State Assembly,132,hillip A Palmesano,,280,,,,
Yates,Middlesex,State Assembly,132,hillip A Palmesano,,417,,,,
Yates,Milo 2,State Assembly,132,hillip A Palmesano,,306,,,,
Yates,Milo 3,State Assembly,132,hillip A Palmesano,,276,,,,
Yates,Milo 4,State Assembly,132,hillip A Palmesano,,215,,,,
Yates,Milo 5,State Assembly,132,hillip A Palmesano,,275,,,,
Yates,Milo 6,State Assembly,132,hillip A Palmesano,,350,,,,
Yates,Potter,State Assembly,132,hillip A Palmesano,,393,,,,
Yates,Starkey 1,State Assembly,132,hillip A Palmesano,,306,,,,
Yates,Starkey 2,State Assembly,132,hillip A Palmesano,,336,,,,
Yates,Torrey,State Assembly,132,hillip A Palmesano,,297,,,,
Yates,Total,State Assembly,132,hillip A Palmesano,,5295,,,,
Yates,Barrington,State Assembly,132,hillip A Palmesano,,33,,,,
Yates,Benton 1,State Assembly,132,hillip A Palmesano,,29,,,,
Yates,Benton 2,State Assembly,132,hillip A Palmesano,,43,,,,
Yates,Italy,State Assembly,132,hillip A Palmesano,,43,,,,
Yates,Jerusalem 1,State Assembly,132,hillip A Palmesano,,44,,,,
Yates,Jerusalem 2,State Assembly,132,hillip A Palmesano,,28,,,,
Yates,Jerusalem 3,State Assembly,132,hillip A Palmesano,,46,,,,
Yates,Jerusalem 4,State Assembly,132,hillip A Palmesano,,25,,,,
Yates,Middlesex,State Assembly,132,hillip A Palmesano,,66,,,,
Yates,Milo 2,State Assembly,132,hillip A Palmesano,,46,,,,
Yates,Milo 3,State Assembly,132,hillip A Palmesano,,32,,,,
Yates,Milo 4,State Assembly,132,hillip A Palmesano,,24,,,,
Yates,Milo 5,State Assembly,132,hillip A Palmesano,,48,,,,
Yates,Milo 6,State Assembly,132,hillip A Palmesano,,48,,,,
Yates,Potter,State Assembly,132,hillip A Palmesano,,57,,,,
Yates,Starkey 1,State Assembly,132,hillip A Palmesano,,36,,,,
Yates,Starkey 2,State Assembly,132,hillip A Palmesano,,44,,,,
Yates,Torrey,State Assembly,132,hillip A Palmesano,,43,,,,
Yates,Total,State Assembly,132,hillip A Palmesano,,735,,,,
Yates,Barrington,State Assembly,132,hillip A Palmesano,,36,,,,
Yates,Benton 1,State Assembly,132,hillip A Palmesano,,33,,,,
Yates,Benton 2,State Assembly,132,hillip A Palmesano,,47,,,,
Yates,Italy,State Assembly,132,hillip A Palmesano,,45,,,,
Yates,Jerusalem 1,State Assembly,132,hillip A Palmesano,,31,,,,
Yates,Jerusalem 2,State Assembly,132,hillip A Palmesano,,28,,,,
Yates,Jerusalem 3,State Assembly,132,hillip A Palmesano,,40,,,,
Yates,Jerusalem 4,State Assembly,132,hillip A Palmesano,,39,,,,
Yates,Middlesex,State Assembly,132,hillip A Palmesano,,59,,,,
Yates,Milo 2,State Assembly,132,hillip A Palmesano,,47,,,,
Yates,Milo 3,State Assembly,132,hillip A Palmesano,,52,,,,
Yates,Milo 4,State Assembly,132,hillip A Palmesano,,19,,,,
Yates,Milo 5,State Assembly,132,hillip A Palmesano,,60,,,,
Yates,Milo 6,State Assembly,132,hillip A Palmesano,,31,,,,
Yates,Potter,State Assembly,132,hillip A Palmesano,,35,,,,
Yates,Starkey 1,State Assembly,132,hillip A Palmesano,,42,,,,
Yates,Starkey 2,State Assembly,132,hillip A Palmesano,,52,,,,
Yates,Torrey,State Assembly,132,hillip A Palmesano,,45,,,,
Yates,Total,State Assembly,132,hillip A Palmesano,,741,,,,
Yates,Barrington,State Assembly,132,Write -In,,1,,,,
Yates,Benton 1,State Assembly,132,Write -In,,1,,,,
Yates,Benton 2,State Assembly,132,Write -In,,0,,,,
Yates,Italy,State Assembly,132,Write -In,,1,,,,
Yates,Jerusalem 1,State Assembly,132,Write -In,,2,,,,
Yates,Jerusalem 2,State Assembly,132,Write -In,,0,,,,
Yates,Jerusalem 3,State Assembly,132,Write -In,,0,,,,
Yates,Jerusalem 4,State Assembly,132,Write -In,,0,,,,
Yates,Middlesex,State Assembly,132,Write -In,,2,,,,
Yates,Milo 2,State Assembly,132,Write -In,,1,,,,
Yates,Milo 3,State Assembly,132,Write -In,,1,,,,
Yates,Milo 4,State Assembly,132,Write -In,,0,,,,
Yates,Milo 5,State Assembly,132,Write -In,,2,,,,
Yates,Milo 6,State Assembly,132,Write -In,,0,,,,
Yates,Potter,State Assembly,132,Write -In,,0,,,,
Yates,Starkey 1,State Assembly,132,Write -In,,3,,,,
Yates,Starkey 2,State Assembly,132,Write -In,,3,,,,
Yates,Torrey,State Assembly,132,Write -In,,0,,,,
Yates,Total,State Assembly,132,Write -In,,17,,,,
