candidate,office,county,district,party,precinct,votes,winner
Bernie Sanders,President,Albany,,Democratic,,21798,
Bernie Sanders,President,Allegany,,Democratic,,1209,
Bernie Sanders,President,Broome,,Democratic,,10151,
Bernie Sanders,President,Cattaraugus,,Democratic,,2481,
Bernie Sanders,President,Cayuga,,Democratic,,2805,
Bernie Sanders,President,Chautauqua,,Democratic,,4431,
Bernie Sanders,President,Chemung,,Democratic,,2752,
Bernie Sanders,President,Chenango,,Democratic,,1613,
Bernie Sanders,President,Clinton,,Democratic,,4797,
Bernie Sanders,President,Columbia,,Democratic,,3660,
Bernie Sanders,President,Cortland,,Democratic,,2037,
Bernie Sanders,President,Delaware,,Democratic,,1813,
Bernie Sanders,President,Dutchess,,Democratic,,12395,
Bernie Sanders,President,Erie,,Democratic,,52473,
Bernie Sanders,President,Essex,,Democratic,,2145,
Bernie Sanders,President,Franklin,,Democratic,,2512,
Bernie Sanders,President,Fulton,,Democratic,,1475,
Bernie Sanders,President,Genesee,,Democratic,,1622,
Bernie Sanders,President,Greene,,Democratic,,1566,
Bernie Sanders,President,Hamilton,,Democratic,,245,
Bernie Sanders,President,Herkimer,,Democratic,,1873,
Bernie Sanders,President,Jefferson,,Democratic,,2656,
Bernie Sanders,President,Lewis,,Democratic,,703,
Bernie Sanders,President,Livingston,,Democratic,,2516,
Bernie Sanders,President,Madison,,Democratic,,2528,
Bernie Sanders,President,Monroe,,Democratic,,36490,
Bernie Sanders,President,Montgomery,,Democratic,,1732,
Bernie Sanders,President,Nassau,,Democratic,,44731,
Bernie Sanders,President,Niagara,,Democratic,,9294,
Bernie Sanders,President,Oneida,,Democratic,,7739,
Bernie Sanders,President,Onondaga,,Democratic,,19186,
Bernie Sanders,President,Ontario,,Democratic,,4445,
Bernie Sanders,President,Orange,,Democratic,,12077,
Bernie Sanders,President,Orleans,,Democratic,,923,
Bernie Sanders,President,Oswego,,Democratic,,3273,
Bernie Sanders,President,Otsego,,Democratic,,2868,
Bernie Sanders,President,Putnam,,Democratic,,3832,
Bernie Sanders,President,Rensselaer,,Democratic,,7003,
Bernie Sanders,President,Rockland,,Democratic,,11790,
Bernie Sanders,President,St. Lawrence,,Democratic,,4425,
Bernie Sanders,President,Saratoga,,Democratic,,9694,
Bernie Sanders,President,Schenectady,,Democratic,,7241,
Bernie Sanders,President,Schoharie,,Democratic,,1216,
Bernie Sanders,President,Schuyler,,Democratic,,876,
Bernie Sanders,President,Seneca,,Democratic,,1247,
Bernie Sanders,President,Steuben,,Democratic,,2926,
Bernie Sanders,President,Suffolk,,Democratic,,44033,
Bernie Sanders,President,Sullivan,,Democratic,,2958,
Bernie Sanders,President,Tioga,,Democratic,,1936,
Bernie Sanders,President,Tompkins,,Democratic,,10130,
Bernie Sanders,President,Ulster,,Democratic,,12435,
Bernie Sanders,President,Warren,,Democratic,,2871,
Bernie Sanders,President,Washington,,Democratic,,2274,
Bernie Sanders,President,Wayne,,Democratic,,2436,
Bernie Sanders,President,Westchester,,Democratic,,36753,
Bernie Sanders,President,Wyoming,,Democratic,,958,
Bernie Sanders,President,Yates,,Democratic,,720,
Bernie Sanders,President,Bronx,,Democratic,,46189,
Bernie Sanders,President,Kings,,Democratic,,123872,
Bernie Sanders,President,New York,,Democratic,,98194,
Bernie Sanders,President,Queens,,Democratic,,81762,
Bernie Sanders,President,Richmond,,Democratic,,15471,
Bernie Sanders,President,,,Democratic,,820256,
Hillary Clinton,President,Albany,,Democratic,,19914,
Hillary Clinton,President,Allegany,,Democratic,,847,
Hillary Clinton,President,Broome,,Democratic,,7641,
Hillary Clinton,President,Cattaraugus,,Democratic,,1844,
Hillary Clinton,President,Cayuga,,Democratic,,2592,
Hillary Clinton,President,Chautauqua,,Democratic,,3865,
Hillary Clinton,President,Chemung,,Democratic,,2740,
Hillary Clinton,President,Chenango,,Democratic,,1062,
Hillary Clinton,President,Clinton,,Democratic,,1774,
Hillary Clinton,President,Columbia,,Democratic,,3039,
Hillary Clinton,President,Cortland,,Democratic,,1515,
Hillary Clinton,President,Delaware,,Democratic,,1172,
Hillary Clinton,President,Dutchess,,Democratic,,11701,
Hillary Clinton,President,Erie,,Democratic,,54279,
Hillary Clinton,President,Essex,,Democratic,,838,
Hillary Clinton,President,Franklin,,Democratic,,1076,
Hillary Clinton,President,Fulton,,Democratic,,1010,
Hillary Clinton,President,Genesee,,Democratic,,1393,
Hillary Clinton,President,Greene,,Democratic,,1195,
Hillary Clinton,President,Hamilton,,Democratic,,141,
Hillary Clinton,President,Herkimer,,Democratic,,1507,
Hillary Clinton,President,Jefferson,,Democratic,,2579,
Hillary Clinton,President,Lewis,,Democratic,,492,
Hillary Clinton,President,Livingston,,Democratic,,1685,
Hillary Clinton,President,Madison,,Democratic,,2039,
Hillary Clinton,President,Monroe,,Democratic,,39310,
Hillary Clinton,President,Montgomery,,Democratic,,1298,
Hillary Clinton,President,Nassau,,Democratic,,74870,
Hillary Clinton,President,Niagara,,Democratic,,8202,
Hillary Clinton,President,Oneida,,Democratic,,6586,
Hillary Clinton,President,Onondaga,,Democratic,,21786,
Hillary Clinton,President,Ontario,,Democratic,,4040,
Hillary Clinton,President,Orange,,Democratic,,12855,
Hillary Clinton,President,Orleans,,Democratic,,725,
Hillary Clinton,President,Oswego,,Democratic,,2631,
Hillary Clinton,President,Otsego,,Democratic,,1995,
Hillary Clinton,President,Putnam,,Democratic,,3718,
Hillary Clinton,President,Rensselaer,,Democratic,,5068,
Hillary Clinton,President,Rockland,,Democratic,,17868,
Hillary Clinton,President,St. Lawrence,,Democratic,,3142,
Hillary Clinton,President,Saratoga,,Democratic,,7672,
Hillary Clinton,President,Schenectady,,Democratic,,6526,
Hillary Clinton,President,Schoharie,,Democratic,,706,
Hillary Clinton,President,Schuyler,,Democratic,,548,
Hillary Clinton,President,Seneca,,Democratic,,1125,
Hillary Clinton,President,Steuben,,Democratic,,2149,
Hillary Clinton,President,Suffolk,,Democratic,,53420,
Hillary Clinton,President,Sullivan,,Democratic,,2369,
Hillary Clinton,President,Tioga,,Democratic,,1318,
Hillary Clinton,President,Tompkins,,Democratic,,6138,
Hillary Clinton,President,Ulster,,Democratic,,7642,
Hillary Clinton,President,Warren,,Democratic,,1868,
Hillary Clinton,President,Washington,,Democratic,,1292,
Hillary Clinton,President,Wayne,,Democratic,,1988,
Hillary Clinton,President,Westchester,,Democratic,,74900,
Hillary Clinton,President,Wyoming,,Democratic,,639,
Hillary Clinton,President,Yates,,Democratic,,637,
Hillary Clinton,President,Bronx,,Democratic,,105719,
Hillary Clinton,President,Kings,,Democratic,,183662,
Hillary Clinton,President,New York,,Democratic,,190806,
Hillary Clinton,President,Queens,,Democratic,,133210,
Hillary Clinton,President,Richmond,,Democratic,,17612,
Hillary Clinton,President,,,Democratic,,1133980,1