candidate,office,county,district,party,precinct,votes,winner
"John M. De Vito, Jr.",State Senate,Suffolk,3,DEM,,1390,
Joseph L. Fritz,State Senate,Suffolk,3,DEM,,1012,
Ricardo Montano,State Senate,Suffolk,3,DEM,,898,
Laurence S. Hirsh,State Senate,Nassau,9,GRE,,23,
Todd Kaminsky,State Senate,Nassau,9,GRE,,16,
"James Sanders, Jr.",State Senate,Queens,10,DEM,,5495,
Adrienne E. Adams,State Senate,Queens,10,DEM,,3988,
Toby Ann Stavisky,State Senate,Queens,16,DEM,,5690,
S. J. Jung,State Senate,Queens,16,DEM,,3966,
Debbie Medina,State Senate,Kings,18,DEM,,3988,
Martin Malave Dilan,State Senate,Kings,18,DEM,,5844,
Mercedes Narcisse,State Senate,Kings,19,DEM,,3284,
Roxanne J. Persaud,State Senate,Kings,19,DEM,,10358,
Michael G. Cox,State Senate,Kings,25,DEM,,4719,
Velmanette Montgomery,State Senate,Kings,25,DEM,,10579,
Michael Zumbluskas,State Senate,New York,28,WEP,,2,
Robert Jackson,State Senate,New York,31,DEM,,7936,
Marisol Alcantara,State Senate,New York,31,DEM,,8469,
Micah Lasher,State Senate,New York,31,DEM,,8175,
Luis Tejada,State Senate,New York,31,DEM,,1316,
"Ruben Diaz, Sr.",State Senate,Bronx,32,DEM,,8557,
Elliot Quinones,State Senate,Bronx,32,DEM,,1069,
J. Gustavo Rivera,State Senate,Bronx,33,DEM,,6036,
Fernando Cabrera,State Senate,Bronx,33,DEM,,3549,
Edward A. Mulraine,State Senate,Bronx,36,DEM,,1186,
Edward A. Mulraine,State Senate,Westchester,36,DEM,,1317,
Edward A. Mulraine,State Senate,,36,DEM,,2503,
Jamaal T. Bailey,State Senate,Bronx,36,DEM,,6938,
Jamaal T. Bailey,State Senate,Westchester,36,DEM,,1691,
Jamaal T. Bailey,State Senate,,36,DEM,,8629,1
Alvin Ponder,State Senate,Bronx,36,DEM,,824,
Alvin Ponder,State Senate,Westchester,36,DEM,,108,
Alvin Ponder,State Senate,,36,DEM,,932,
Pamela A. Hamilton-Johnson,State Senate,Bronx,36,DEM,,1777,
Pamela A. Hamilton-Johnson,State Senate,Westchester,36,DEM,,493,
Pamela A. Hamilton-Johnson,State Senate,,36,DEM,,2270,
Que English,State Senate,Bronx,36,DEM,,882,
Que English,State Senate,Westchester,36,DEM,,293,
Que English,State Senate,,36,DEM,,1175,
Christopher W. Eachus,State Senate,Orange,39,WOR,,50,
Christopher W. Eachus,State Senate,Rockland,39,WOR,,7,
Christopher W. Eachus,State Senate,Ulster,39,WOR,,2,
Christopher W. Eachus,State Senate,,39,WOR,,59,1
Aron B. Weider,State Senate,Orange,39,WOR,,16,
Aron B. Weider,State Senate,Rockland,39,WOR,,0,
Aron B. Weider,State Senate,Ulster,39,WOR,,0,
Aron B. Weider,State Senate,,39,WOR,,16,
John Allegro,State Senate,Orange,39,WOR,,2,
John Allegro,State Senate,Rockland,39,WOR,,0,
John Allegro,State Senate,Ulster,39,WOR,,0,
John Allegro,State Senate,,39,WOR,,2,
Void,State Senate,Orange,39,WOR,,1,
Void,State Senate,Rockland,39,WOR,,0,
Void,State Senate,Ulster,39,WOR,,0,
Void,State Senate,,39,WOR,,1,
Malick Carmilla,State Senate,Orange,39,WOR,,1,
Malick Carmilla,State Senate,Rockland,39,WOR,,0,
Malick Carmilla,State Senate,Ulster,39,WOR,,0,
Malick Carmilla,State Senate,,39,WOR,,1,
Christopher W. Eachus,State Senate,Orange,39,WEP,,3,
Christopher W. Eachus,State Senate,Rockland,39,WEP,,0,
Christopher W. Eachus,State Senate,Ulster,39,WEP,,0,
Christopher W. Eachus,State Senate,,39,WEP,,3,1
Void,State Senate,Orange,39,WEP,,2,
Void,State Senate,Rockland,39,WEP,,0,
Void,State Senate,Ulster,39,WEP,,0,
Void,State Senate,,39,WEP,,2,
Andrew I. Falk,State Senate,Dutchess,40,DEM,,74,
Andrew I. Falk,State Senate,Putnam,40,DEM,,291,
Andrew I. Falk,State Senate,Westchester,40,DEM,,814,
Andrew I. Falk,State Senate,,40,DEM,,1179,
Alison Boak,State Senate,Dutchess,40,DEM,,99,
Alison Boak,State Senate,Putnam,40,DEM,,511,
Alison Boak,State Senate,Westchester,40,DEM,,3734,
Alison Boak,State Senate,,40,DEM,,4344,1
Kevin McCarthy,State Senate,Dutchess,41,GRE,,11,
Kevin McCarthy,State Senate,Putnam,41,GRE,,0,
Kevin McCarthy,State Senate,,41,GRE,,11,
Terry Gipson,State Senate,Dutchess,41,GRE,,40,
Terry Gipson,State Senate,Putnam,41,GRE,,7,
Terry Gipson,State Senate,,41,GRE,,47,1
Pramilla Mallick,State Senate,Sullivan,42,DEM,,742,
Pramilla Mallick,State Senate,Delaware,42,DEM,,137,
Pramilla Mallick,State Senate,Orange,42,DEM,,1112,
Pramilla Mallick,State Senate,Ulster,42,DEM,,526,
Pramilla Mallick,State Senate,,42,DEM,,2517,1
John Bonacic,State Senate,Sullivan,42,DEM,,100,
John Bonacic,State Senate,Delaware,42,DEM,,0,
John Bonacic,State Senate,Orange,42,DEM,,78,
John Bonacic,State Senate,Ulster,42,DEM,,40,
John Bonacic,State Senate,,42,DEM,,218,
Zephyr Teachout,State Senate,Sullivan,42,DEM,,0,
Zephyr Teachout,State Senate,Delaware,42,DEM,,0,
Zephyr Teachout,State Senate,Orange,42,DEM,,1,
Zephyr Teachout,State Senate,Ulster,42,DEM,,13,
Zephyr Teachout,State Senate,,42,DEM,,14,
Hillary Clinton,State Senate,Sullivan,42,DEM,,0,
Hillary Clinton,State Senate,Delaware,42,DEM,,0,
Hillary Clinton,State Senate,Orange,42,DEM,,2,
Hillary Clinton,State Senate,Ulster,42,DEM,,1,
Hillary Clinton,State Senate,,42,DEM,,3,
Frank Commando,State Senate,Sullivan,42,DEM,,0,
Frank Commando,State Senate,Delaware,42,DEM,,0,
Frank Commando,State Senate,Orange,42,DEM,,0,
Frank Commando,State Senate,Ulster,42,DEM,,1,
Frank Commando,State Senate,,42,DEM,,1,
Elliot Auerbach,State Senate,Sullivan,42,DEM,,0,
Elliot Auerbach,State Senate,Delaware,42,DEM,,0,
Elliot Auerbach,State Senate,Orange,42,DEM,,0,
Elliot Auerbach,State Senate,Ulster,42,DEM,,1,
Elliot Auerbach,State Senate,,42,DEM,,1,
Ted Reiss,State Senate,Sullivan,42,DEM,,0,
Ted Reiss,State Senate,Delaware,42,DEM,,0,
Ted Reiss,State Senate,Orange,42,DEM,,0,
Ted Reiss,State Senate,Ulster,42,DEM,,1,
Ted Reiss,State Senate,,42,DEM,,1,
Philip Schuyler,State Senate,Sullivan,42,DEM,,0,
Philip Schuyler,State Senate,Delaware,42,DEM,,0,
Philip Schuyler,State Senate,Orange,42,DEM,,0,
Philip Schuyler,State Senate,Ulster,42,DEM,,1,
Philip Schuyler,State Senate,,42,DEM,,1,
Maria Rashak,State Senate,Sullivan,42,DEM,,0,
Maria Rashak,State Senate,Delaware,42,DEM,,0,
Maria Rashak,State Senate,Orange,42,DEM,,0,
Maria Rashak,State Senate,Ulster,42,DEM,,1,
Maria Rashak,State Senate,,42,DEM,,1,
Matthew Scott,State Senate,Sullivan,42,DEM,,0,
Matthew Scott,State Senate,Delaware,42,DEM,,0,
Matthew Scott,State Senate,Orange,42,DEM,,0,
Matthew Scott,State Senate,Ulster,42,DEM,,1,
Matthew Scott,State Senate,,42,DEM,,1,
Kevin Hendrix,State Senate,Sullivan,42,DEM,,0,
Kevin Hendrix,State Senate,Delaware,42,DEM,,0,
Kevin Hendrix,State Senate,Orange,42,DEM,,0,
Kevin Hendrix,State Senate,Ulster,42,DEM,,1,
Kevin Hendrix,State Senate,,42,DEM,,1,
Linda M. Ziwich,State Senate,Sullivan,42,DEM,,0,
Linda M. Ziwich,State Senate,Delaware,42,DEM,,0,
Linda M. Ziwich,State Senate,Orange,42,DEM,,0,
Linda M. Ziwich,State Senate,Ulster,42,DEM,,1,
Linda M. Ziwich,State Senate,,42,DEM,,1,
Maurice Hinchey,State Senate,Sullivan,42,DEM,,0,
Maurice Hinchey,State Senate,Delaware,42,DEM,,0,
Maurice Hinchey,State Senate,Orange,42,DEM,,0,
Maurice Hinchey,State Senate,Ulster,42,DEM,,1,
Maurice Hinchey,State Senate,,42,DEM,,1,
Void,State Senate,Sullivan,42,DEM,,0,
Void,State Senate,Delaware,42,DEM,,0,
Void,State Senate,Orange,42,DEM,,101,
Void,State Senate,Ulster,42,DEM,,0,
Void,State Senate,,42,DEM,,101,
Charles Schumer,State Senate,Sullivan,42,DEM,,0,
Charles Schumer,State Senate,Delaware,42,DEM,,0,
Charles Schumer,State Senate,Orange,42,DEM,,15,
Charles Schumer,State Senate,Ulster,42,DEM,,0,
Charles Schumer,State Senate,,42,DEM,,15,
John Allegro,State Senate,Sullivan,42,DEM,,0,
John Allegro,State Senate,Delaware,42,DEM,,0,
John Allegro,State Senate,Orange,42,DEM,,6,
John Allegro,State Senate,Ulster,42,DEM,,0,
John Allegro,State Senate,,42,DEM,,6,
James O'Donnell,State Senate,Sullivan,42,DEM,,0,
James O'Donnell,State Senate,Delaware,42,DEM,,0,
James O'Donnell,State Senate,Orange,42,DEM,,6,
James O'Donnell,State Senate,Ulster,42,DEM,,0,
James O'Donnell,State Senate,,42,DEM,,6,
Krystal Serrano,State Senate,Sullivan,42,DEM,,0,
Krystal Serrano,State Senate,Delaware,42,DEM,,0,
Krystal Serrano,State Senate,Orange,42,DEM,,6,
Krystal Serrano,State Senate,Ulster,42,DEM,,0,
Krystal Serrano,State Senate,,42,DEM,,6,
Phil Canterino,State Senate,Sullivan,42,DEM,,0,
Phil Canterino,State Senate,Delaware,42,DEM,,0,
Phil Canterino,State Senate,Orange,42,DEM,,5,
Phil Canterino,State Senate,Ulster,42,DEM,,0,
Phil Canterino,State Senate,,42,DEM,,5,
Steven Brockett,State Senate,Sullivan,42,DEM,,0,
Steven Brockett,State Senate,Delaware,42,DEM,,0,
Steven Brockett,State Senate,Orange,42,DEM,,4,
Steven Brockett,State Senate,Ulster,42,DEM,,0,
Steven Brockett,State Senate,,42,DEM,,4,
Karl Brabenec,State Senate,Sullivan,42,DEM,,0,
Karl Brabenec,State Senate,Delaware,42,DEM,,0,
Karl Brabenec,State Senate,Orange,42,DEM,,3,
Karl Brabenec,State Senate,Ulster,42,DEM,,0,
Karl Brabenec,State Senate,,42,DEM,,3,
William Larkin,State Senate,Sullivan,42,DEM,,0,
William Larkin,State Senate,Delaware,42,DEM,,0,
William Larkin,State Senate,Orange,42,DEM,,2,
William Larkin,State Senate,Ulster,42,DEM,,0,
William Larkin,State Senate,,42,DEM,,2,
Robert Freehill,State Senate,Sullivan,42,DEM,,0,
Robert Freehill,State Senate,Delaware,42,DEM,,0,
Robert Freehill,State Senate,Orange,42,DEM,,2,
Robert Freehill,State Senate,Ulster,42,DEM,,0,
Robert Freehill,State Senate,,42,DEM,,2,
Paul Boese,State Senate,Sullivan,42,DEM,,0,
Paul Boese,State Senate,Delaware,42,DEM,,0,
Paul Boese,State Senate,Orange,42,DEM,,1,
Paul Boese,State Senate,Ulster,42,DEM,,0,
Paul Boese,State Senate,,42,DEM,,1,
Howard Weiss,State Senate,Sullivan,42,DEM,,0,
Howard Weiss,State Senate,Delaware,42,DEM,,0,
Howard Weiss,State Senate,Orange,42,DEM,,1,
Howard Weiss,State Senate,Ulster,42,DEM,,0,
Howard Weiss,State Senate,,42,DEM,,1,
Janice Buicouit,State Senate,Sullivan,42,DEM,,0,
Janice Buicouit,State Senate,Delaware,42,DEM,,0,
Janice Buicouit,State Senate,Orange,42,DEM,,1,
Janice Buicouit,State Senate,Ulster,42,DEM,,0,
Janice Buicouit,State Senate,,42,DEM,,1,
James Skouoff,State Senate,Sullivan,42,DEM,,0,
James Skouoff,State Senate,Delaware,42,DEM,,0,
James Skouoff,State Senate,Orange,42,DEM,,1,
James Skouoff,State Senate,Ulster,42,DEM,,0,
James Skouoff,State Senate,,42,DEM,,1,
James Soutous,State Senate,Sullivan,42,DEM,,0,
James Soutous,State Senate,Delaware,42,DEM,,0,
James Soutous,State Senate,Orange,42,DEM,,1,
James Soutous,State Senate,Ulster,42,DEM,,0,
James Soutous,State Senate,,42,DEM,,1,
Greg Willems,State Senate,Sullivan,42,DEM,,0,
Greg Willems,State Senate,Delaware,42,DEM,,0,
Greg Willems,State Senate,Orange,42,DEM,,1,
Greg Willems,State Senate,Ulster,42,DEM,,0,
Greg Willems,State Senate,,42,DEM,,1,
Roy Karp,State Senate,Sullivan,42,DEM,,0,
Roy Karp,State Senate,Delaware,42,DEM,,0,
Roy Karp,State Senate,Orange,42,DEM,,1,
Roy Karp,State Senate,Ulster,42,DEM,,0,
Roy Karp,State Senate,,42,DEM,,1,
John J. Reuter,State Senate,Sullivan,42,DEM,,0,
John J. Reuter,State Senate,Delaware,42,DEM,,0,
John J. Reuter,State Senate,Orange,42,DEM,,1,
John J. Reuter,State Senate,Ulster,42,DEM,,0,
John J. Reuter,State Senate,,42,DEM,,1,
Anita Rhozinski,State Senate,Sullivan,42,DEM,,0,
Anita Rhozinski,State Senate,Delaware,42,DEM,,0,
Anita Rhozinski,State Senate,Orange,42,DEM,,1,
Anita Rhozinski,State Senate,Ulster,42,DEM,,0,
Anita Rhozinski,State Senate,,42,DEM,,1,
Timohty Powers,State Senate,Sullivan,42,DEM,,0,
Timohty Powers,State Senate,Delaware,42,DEM,,0,
Timohty Powers,State Senate,Orange,42,DEM,,1,
Timohty Powers,State Senate,Ulster,42,DEM,,0,
Timohty Powers,State Senate,,42,DEM,,1,
Charley Ryn,State Senate,Sullivan,42,DEM,,0,
Charley Ryn,State Senate,Delaware,42,DEM,,0,
Charley Ryn,State Senate,Orange,42,DEM,,1,
Charley Ryn,State Senate,Ulster,42,DEM,,0,
Charley Ryn,State Senate,,42,DEM,,1,
John Smith,State Senate,Sullivan,42,DEM,,0,
John Smith,State Senate,Delaware,42,DEM,,0,
John Smith,State Senate,Orange,42,DEM,,1,
John Smith,State Senate,Ulster,42,DEM,,0,
John Smith,State Senate,,42,DEM,,1,
Michele Addpho,State Senate,Sullivan,42,DEM,,0,
Michele Addpho,State Senate,Delaware,42,DEM,,0,
Michele Addpho,State Senate,Orange,42,DEM,,1,
Michele Addpho,State Senate,Ulster,42,DEM,,0,
Michele Addpho,State Senate,,42,DEM,,1,
Todd Kamisky,State Senate,Sullivan,42,DEM,,0,
Todd Kamisky,State Senate,Delaware,42,DEM,,0,
Todd Kamisky,State Senate,Orange,42,DEM,,1,
Todd Kamisky,State Senate,Ulster,42,DEM,,0,
Todd Kamisky,State Senate,,42,DEM,,1,
William Larsen,State Senate,Sullivan,42,DEM,,0,
William Larsen,State Senate,Delaware,42,DEM,,0,
William Larsen,State Senate,Orange,42,DEM,,1,
William Larsen,State Senate,Ulster,42,DEM,,0,
William Larsen,State Senate,,42,DEM,,1,
Gerald E. Gray,State Senate,Sullivan,42,DEM,,0,
Gerald E. Gray,State Senate,Delaware,42,DEM,,0,
Gerald E. Gray,State Senate,Orange,42,DEM,,1,
Gerald E. Gray,State Senate,Ulster,42,DEM,,0,
Gerald E. Gray,State Senate,,42,DEM,,1,
Pantel Malick,State Senate,Sullivan,42,DEM,,0,
Pantel Malick,State Senate,Delaware,42,DEM,,0,
Pantel Malick,State Senate,Orange,42,DEM,,1,
Pantel Malick,State Senate,Ulster,42,DEM,,0,
Pantel Malick,State Senate,,42,DEM,,1,
Dan Hart,State Senate,Sullivan,42,DEM,,0,
Dan Hart,State Senate,Delaware,42,DEM,,0,
Dan Hart,State Senate,Orange,42,DEM,,1,
Dan Hart,State Senate,Ulster,42,DEM,,0,
Dan Hart,State Senate,,42,DEM,,1,
Parmella Kannish,State Senate,Sullivan,42,DEM,,0,
Parmella Kannish,State Senate,Delaware,42,DEM,,0,
Parmella Kannish,State Senate,Orange,42,DEM,,1,
Parmella Kannish,State Senate,Ulster,42,DEM,,0,
Parmella Kannish,State Senate,,42,DEM,,1,
Ninelle Allen-Irby,State Senate,Sullivan,42,DEM,,0,
Ninelle Allen-Irby,State Senate,Delaware,42,DEM,,0,
Ninelle Allen-Irby,State Senate,Orange,42,DEM,,1,
Ninelle Allen-Irby,State Senate,Ulster,42,DEM,,0,
Ninelle Allen-Irby,State Senate,,42,DEM,,1,
Tiamilla Mallick,State Senate,Sullivan,42,DEM,,0,
Tiamilla Mallick,State Senate,Delaware,42,DEM,,0,
Tiamilla Mallick,State Senate,Orange,42,DEM,,1,
Tiamilla Mallick,State Senate,Ulster,42,DEM,,0,
Tiamilla Mallick,State Senate,,42,DEM,,1,
Rosary Cartino,State Senate,Sullivan,42,DEM,,0,
Rosary Cartino,State Senate,Delaware,42,DEM,,0,
Rosary Cartino,State Senate,Orange,42,DEM,,1,
Rosary Cartino,State Senate,Ulster,42,DEM,,0,
Rosary Cartino,State Senate,,42,DEM,,1,
Patricia Midick,State Senate,Sullivan,42,DEM,,0,
Patricia Midick,State Senate,Delaware,42,DEM,,0,
Patricia Midick,State Senate,Orange,42,DEM,,1,
Patricia Midick,State Senate,Ulster,42,DEM,,0,
Patricia Midick,State Senate,,42,DEM,,1,
Ron Paul,State Senate,Sullivan,42,DEM,,0,
Ron Paul,State Senate,Delaware,42,DEM,,0,
Ron Paul,State Senate,Orange,42,DEM,,1,
Ron Paul,State Senate,Ulster,42,DEM,,0,
Ron Paul,State Senate,,42,DEM,,1,
Robert Kriner,State Senate,Sullivan,42,DEM,,0,
Robert Kriner,State Senate,Delaware,42,DEM,,0,
Robert Kriner,State Senate,Orange,42,DEM,,1,
Robert Kriner,State Senate,Ulster,42,DEM,,0,
Robert Kriner,State Senate,,42,DEM,,1,
Prima Mallica,State Senate,Sullivan,42,DEM,,0,
Prima Mallica,State Senate,Delaware,42,DEM,,0,
Prima Mallica,State Senate,Orange,42,DEM,,1,
Prima Mallica,State Senate,Ulster,42,DEM,,0,
Prima Mallica,State Senate,,42,DEM,,1,
Christin Malick,State Senate,Sullivan,42,DEM,,0,
Christin Malick,State Senate,Delaware,42,DEM,,0,
Christin Malick,State Senate,Orange,42,DEM,,1,
Christin Malick,State Senate,Ulster,42,DEM,,0,
Christin Malick,State Senate,,42,DEM,,1,
Manolin Tirado,State Senate,Sullivan,42,DEM,,0,
Manolin Tirado,State Senate,Delaware,42,DEM,,0,
Manolin Tirado,State Senate,Orange,42,DEM,,1,
Manolin Tirado,State Senate,Ulster,42,DEM,,0,
Manolin Tirado,State Senate,,42,DEM,,1,
Greg Fisher,State Senate,Sullivan,42,DEM,,0,
Greg Fisher,State Senate,Delaware,42,DEM,,0,
Greg Fisher,State Senate,Orange,42,DEM,,1,
Greg Fisher,State Senate,Ulster,42,DEM,,0,
Greg Fisher,State Senate,,42,DEM,,1,
Anna Throne Holst,State Senate,Sullivan,42,DEM,,0,
Anna Throne Holst,State Senate,Delaware,42,DEM,,0,
Anna Throne Holst,State Senate,Orange,42,DEM,,1,
Anna Throne Holst,State Senate,Ulster,42,DEM,,0,
Anna Throne Holst,State Senate,,42,DEM,,1,
Mary Louise Mallick,State Senate,Sullivan,42,DEM,,0,
Mary Louise Mallick,State Senate,Delaware,42,DEM,,0,
Mary Louise Mallick,State Senate,Orange,42,DEM,,1,
Mary Louise Mallick,State Senate,Ulster,42,DEM,,0,
Mary Louise Mallick,State Senate,,42,DEM,,1,
Naomi Miller,State Senate,Sullivan,42,DEM,,0,
Naomi Miller,State Senate,Delaware,42,DEM,,0,
Naomi Miller,State Senate,Orange,42,DEM,,1,
Naomi Miller,State Senate,Ulster,42,DEM,,0,
Naomi Miller,State Senate,,42,DEM,,1,
Randy Hurst,State Senate,Sullivan,42,DEM,,0,
Randy Hurst,State Senate,Delaware,42,DEM,,0,
Randy Hurst,State Senate,Orange,42,DEM,,1,
Randy Hurst,State Senate,Ulster,42,DEM,,0,
Randy Hurst,State Senate,,42,DEM,,1,
Thomas Brunelli,State Senate,Sullivan,42,DEM,,0,
Thomas Brunelli,State Senate,Delaware,42,DEM,,0,
Thomas Brunelli,State Senate,Orange,42,DEM,,1,
Thomas Brunelli,State Senate,Ulster,42,DEM,,0,
Thomas Brunelli,State Senate,,42,DEM,,1,
Barack Obama,State Senate,Sullivan,42,DEM,,0,
Barack Obama,State Senate,Delaware,42,DEM,,0,
Barack Obama,State Senate,Orange,42,DEM,,1,
Barack Obama,State Senate,Ulster,42,DEM,,0,
Barack Obama,State Senate,,42,DEM,,1,
Bernie Sanders,State Senate,Sullivan,42,DEM,,0,
Bernie Sanders,State Senate,Delaware,42,DEM,,0,
Bernie Sanders,State Senate,Orange,42,DEM,,1,
Bernie Sanders,State Senate,Ulster,42,DEM,,0,
Bernie Sanders,State Senate,,42,DEM,,1,
Wendy Long,State Senate,Sullivan,42,DEM,,0,
Wendy Long,State Senate,Delaware,42,DEM,,0,
Wendy Long,State Senate,Orange,42,DEM,,1,
Wendy Long,State Senate,Ulster,42,DEM,,0,
Wendy Long,State Senate,,42,DEM,,1,
Kristen Gillibrand,State Senate,Sullivan,42,DEM,,0,
Kristen Gillibrand,State Senate,Delaware,42,DEM,,0,
Kristen Gillibrand,State Senate,Orange,42,DEM,,1,
Kristen Gillibrand,State Senate,Ulster,42,DEM,,0,
Kristen Gillibrand,State Senate,,42,DEM,,1,
Sara Niccoli,State Senate,Greene,46,GRE,,6,
Sara Niccoli,State Senate,Montgomery,46,GRE,,2,
Sara Niccoli,State Senate,Albany,46,GRE,,12,
Sara Niccoli,State Senate,Schenectady,46,GRE,,2,
Sara Niccoli,State Senate,Ulster,46,GRE,,26,
Sara Niccoli,State Senate,,46,GRE,,48,
"George Amedore, Jr.",State Senate,Greene,46,GRE,,59,
"George Amedore, Jr.",State Senate,Montgomery,46,GRE,,1,
"George Amedore, Jr.",State Senate,Albany,46,GRE,,1,
"George Amedore, Jr.",State Senate,Schenectady,46,GRE,,2,
"George Amedore, Jr.",State Senate,Ulster,46,GRE,,0,
"George Amedore, Jr.",State Senate,,46,GRE,,63,1
Glenn Raymus,State Senate,Greene,46,GRE,,0,
Glenn Raymus,State Senate,Montgomery,46,GRE,,0,
Glenn Raymus,State Senate,Albany,46,GRE,,0,
Glenn Raymus,State Senate,Schenectady,46,GRE,,1,
Glenn Raymus,State Senate,Ulster,46,GRE,,0,
Glenn Raymus,State Senate,,46,GRE,,1,
Marina Karuma-Seales,State Senate,Greene,46,GRE,,0,
Marina Karuma-Seales,State Senate,Montgomery,46,GRE,,1,
Marina Karuma-Seales,State Senate,Albany,46,GRE,,0,
Marina Karuma-Seales,State Senate,Schenectady,46,GRE,,0,
Marina Karuma-Seales,State Senate,Ulster,46,GRE,,11,
Marina Karuma-Seales,State Senate,,46,GRE,,12,
Maurice Hinchey,State Senate,Greene,46,GRE,,0,
Maurice Hinchey,State Senate,Montgomery,46,GRE,,0,
Maurice Hinchey,State Senate,Albany,46,GRE,,0,
Maurice Hinchey,State Senate,Schenectady,46,GRE,,0,
Maurice Hinchey,State Senate,Ulster,46,GRE,,1,
Maurice Hinchey,State Senate,,46,GRE,,1,
James N. Tedisco,State Senate,Fulton,49,REP,,1692,
James N. Tedisco,State Senate,Hamilton,49,REP,,397,
James N. Tedisco,State Senate,Herkimer,49,REP,,550,
James N. Tedisco,State Senate,Saratoga,49,REP,,4049,
James N. Tedisco,State Senate,Schenectady,49,REP,,2322,
James N. Tedisco,State Senate,,49,REP,,9010,1
