county,precinct,office,district,party,candidate,votes,,,,,
Livingston,Avon 1-4,U.S. House,27,DEM,Nathan D. McMurray,685,,,,,
Livingston,Caledonia 1-3,U.S. House,27,DEM,Nathan D. McMurray,283,,,,,
Livingston,Conesus 1&2,U.S. House,27,DEM,Nathan D. McMurray,183,,,,,
Livingston,Geneseo 1-5,U.S. House,27,DEM,Nathan D. McMurray,909,,,,,
Livingston,Groveland 1&2,U.S. House,27,DEM,Nathan D. McMurray,132,,,,,
Livingston,Leicester 1,U.S. House,27,DEM,Nathan D. McMurray,148,,,,,
Livingston,Lima 1&2,U.S. House,27,DEM,Nathan D. McMurray,338,,,,,
Livingston,Livonia 1-5,U.S. House,27,DEM,Nathan D. McMurray,601,,,,,
Livingston,Mt. Morris 1-3,U.S. House,27,DEM,Nathan D. McMurray,240,,,,,
Livingston,North Dansville 1-4,U.S. House,27,DEM,Nathan D. McMurray,304,,,,,
Livingston,Nunda 1&2,U.S. House,27,DEM,Nathan D. McMurray,126,,,,,
Livingston,Ossian 1,U.S. House,27,DEM,Nathan D. McMurray,34,,,,,
Livingston,Portage 1,U.S. House,27,DEM,Nathan D. McMurray,21,,,,,
Livingston,Sparta 1,U.S. House,27,DEM,Nathan D. McMurray,73,,,,,
Livingston,Springwater 1,U.S. House,27,DEM,Nathan D. McMurray,135,,,,,
Livingston,West Sparta 1,U.S. House,27,DEM,Nathan D. McMurray,44,,,,,
Livingston,York 1&2,U.S. House,27,DEM,Nathan D. McMurray,273,,,,,
Livingston,Avon 1-4,U.S. House,27,WOR,Nathan D. McMurray,34,,,,,
Livingston,Caledonia 1-3,U.S. House,27,WOR,Nathan D. McMurray,30,,,,,
Livingston,Conesus 1&2,U.S. House,27,WOR,Nathan D. McMurray,9,,,,,
Livingston,Geneseo 1-5,U.S. House,27,WOR,Nathan D. McMurray,71,,,,,
Livingston,Groveland 1&2,U.S. House,27,WOR,Nathan D. McMurray,7,,,,,
Livingston,Leicester 1,U.S. House,27,WOR,Nathan D. McMurray,8,,,,,
Livingston,Lima 1&2,U.S. House,27,WOR,Nathan D. McMurray,32,,,,,
Livingston,Livonia 1-5,U.S. House,27,WOR,Nathan D. McMurray,33,,,,,
Livingston,Mt. Morris 1-3,U.S. House,27,WOR,Nathan D. McMurray,24,,,,,
Livingston,North Dansville 1-4,U.S. House,27,WOR,Nathan D. McMurray,28,,,,,
Livingston,Nunda 1&2,U.S. House,27,WOR,Nathan D. McMurray,22,,,,,
Livingston,Ossian 1,U.S. House,27,WOR,Nathan D. McMurray,3,,,,,
Livingston,Portage 1,U.S. House,27,WOR,Nathan D. McMurray,8,,,,,
Livingston,Sparta 1,U.S. House,27,WOR,Nathan D. McMurray,7,,,,,
Livingston,Springwater 1,U.S. House,27,WOR,Nathan D. McMurray,8,,,,,
Livingston,West Sparta 1,U.S. House,27,WOR,Nathan D. McMurray,9,,,,,
Livingston,York 1&2,U.S. House,27,WOR,Nathan D. McMurray,15,,,,,
Livingston,Avon 1-4,U.S. House,27,REP,Chris Jacobs,532,,,,,
Livingston,Caledonia 1-3,U.S. House,27,REP,Chris Jacobs,465,,,,,
Livingston,Conesus 1&2,U.S. House,27,REP,Chris Jacobs,253,,,,,
Livingston,Geneseo 1-5,U.S. House,27,REP,Chris Jacobs,475,,,,,
Livingston,Groveland 1&2,U.S. House,27,REP,Chris Jacobs,152,,,,,
Livingston,Leicester 1,U.S. House,27,REP,Chris Jacobs,197,,,,,
Livingston,Lima 1&2,U.S. House,27,REP,Chris Jacobs,371,,,,,
Livingston,Livonia 1-5,U.S. House,27,REP,Chris Jacobs,675,,,,,
Livingston,Mt. Morris 1-3,U.S. House,27,REP,Chris Jacobs,306,,,,,
Livingston,North Dansville 1-4,U.S. House,27,REP,Chris Jacobs,440,,,,,
Livingston,Nunda 1&2,U.S. House,27,REP,Chris Jacobs,291,,,,,
Livingston,Ossian 1,U.S. House,27,REP,Chris Jacobs,107,,,,,
Livingston,Portage 1,U.S. House,27,REP,Chris Jacobs,101,,,,,
Livingston,Sparta 1,U.S. House,27,REP,Chris Jacobs,178,,,,,
Livingston,Springwater 1,U.S. House,27,REP,Chris Jacobs,231,,,,,
Livingston,West Sparta 1,U.S. House,27,REP,Chris Jacobs,128,,,,,
Livingston,York 1&2,U.S. House,27,REP,Chris Jacobs,255,,,,,
Livingston,Avon 1-4,U.S. House,27,IND,Chris Jacobs,37,,,,,
Livingston,Caledonia 1-3,U.S. House,27,IND,Chris Jacobs,32,,,,,
Livingston,Conesus 1&2,U.S. House,27,IND,Chris Jacobs,21,,,,,
Livingston,Geneseo 1-5,U.S. House,27,IND,Chris Jacobs,35,,,,,
Livingston,Groveland 1&2,U.S. House,27,IND,Chris Jacobs,13,,,,,
Livingston,Leicester 1,U.S. House,27,IND,Chris Jacobs,15,,,,,
Livingston,Lima 1&2,U.S. House,27,IND,Chris Jacobs,34,,,,,
Livingston,Livonia 1-5,U.S. House,27,IND,Chris Jacobs,52,,,,,
Livingston,Mt. Morris 1-3,U.S. House,27,IND,Chris Jacobs,17,,,,,
Livingston,North Dansville 1-4,U.S. House,27,IND,Chris Jacobs,22,,,,,
Livingston,Nunda 1&2,U.S. House,27,IND,Chris Jacobs,20,,,,,
Livingston,Ossian 1,U.S. House,27,IND,Chris Jacobs,11,,,,,
Livingston,Portage 1,U.S. House,27,IND,Chris Jacobs,4,,,,,
Livingston,Sparta 1,U.S. House,27,IND,Chris Jacobs,12,,,,,
Livingston,Springwater 1,U.S. House,27,IND,Chris Jacobs,19,,,,,
Livingston,West Sparta 1,U.S. House,27,IND,Chris Jacobs,6,,,,,
Livingston,York 1&2,U.S. House,27,IND,Chris Jacobs,24,,,,,
Livingston,Avon 1-4,U.S. House,27,GRN,Michael J. Gammariello,11,,,,,
Livingston,Caledonia 1-3,U.S. House,27,GRN,Michael J. Gammariello,4,,,,,
Livingston,Conesus 1&2,U.S. House,27,GRN,Michael J. Gammariello,7,,,,,
Livingston,Geneseo 1-5,U.S. House,27,GRN,Michael J. Gammariello,4,,,,,
Livingston,Groveland 1&2,U.S. House,27,GRN,Michael J. Gammariello,4,,,,,
Livingston,Leicester 1,U.S. House,27,GRN,Michael J. Gammariello,2,,,,,
Livingston,Lima 1&2,U.S. House,27,GRN,Michael J. Gammariello,5,,,,,
Livingston,Livonia 1-5,U.S. House,27,GRN,Michael J. Gammariello,12,,,,,
Livingston,Mt. Morris 1-3,U.S. House,27,GRN,Michael J. Gammariello,0,,,,,
Livingston,North Dansville 1-4,U.S. House,27,GRN,Michael J. Gammariello,4,,,,,
Livingston,Nunda 1&2,U.S. House,27,GRN,Michael J. Gammariello,3,,,,,
Livingston,Ossian 1,U.S. House,27,GRN,Michael J. Gammariello,1,,,,,
Livingston,Portage 1,U.S. House,27,GRN,Michael J. Gammariello,0,,,,,
Livingston,Sparta 1,U.S. House,27,GRN,Michael J. Gammariello,4,,,,,
Livingston,Springwater 1,U.S. House,27,GRN,Michael J. Gammariello,4,,,,,
Livingston,West Sparta 1,U.S. House,27,GRN,Michael J. Gammariello,0,,,,,
Livingston,York 1&2,U.S. House,27,GRN,Michael J. Gammariello,4,,,,,
Livingston,Avon 1-4,U.S. House,27,LBT,Duane Whitmer,16,,,,,
Livingston,Caledonia 1-3,U.S. House,27,LBT,Duane Whitmer,13,,,,,
Livingston,Conesus 1&2,U.S. House,27,LBT,Duane Whitmer,4,,,,,
Livingston,Geneseo 1-5,U.S. House,27,LBT,Duane Whitmer,15,,,,,
Livingston,Groveland 1&2,U.S. House,27,LBT,Duane Whitmer,7,,,,,
Livingston,Leicester 1,U.S. House,27,LBT,Duane Whitmer,5,,,,,
Livingston,Lima 1&2,U.S. House,27,LBT,Duane Whitmer,11,,,,,
Livingston,Livonia 1-5,U.S. House,27,LBT,Duane Whitmer,17,,,,,
Livingston,Mt. Morris 1-3,U.S. House,27,LBT,Duane Whitmer,6,,,,,
Livingston,North Dansville 1-4,U.S. House,27,LBT,Duane Whitmer,9,,,,,
Livingston,Nunda 1&2,U.S. House,27,LBT,Duane Whitmer,6,,,,,
Livingston,Ossian 1,U.S. House,27,LBT,Duane Whitmer,2,,,,,
Livingston,Portage 1,U.S. House,27,LBT,Duane Whitmer,3,,,,,
Livingston,Sparta 1,U.S. House,27,LBT,Duane Whitmer,4,,,,,
Livingston,Springwater 1,U.S. House,27,LBT,Duane Whitmer,8,,,,,
Livingston,West Sparta 1,U.S. House,27,LBT,Duane Whitmer,0,,,,,
Livingston,York 1&2,U.S. House,27,LBT,Duane Whitmer,7,,,,,
Livingston,Avon 1-4,U.S. House,27,,Scattering,11,,,,,
Livingston,Caledonia 1-3,U.S. House,27,,Scattering,3,,,,,
Livingston,Conesus 1&2,U.S. House,27,,Scattering,1,,,,,
Livingston,Geneseo 1-5,U.S. House,27,,Scattering,8,,,,,
Livingston,Groveland 1&2,U.S. House,27,,Scattering,0,,,,,
Livingston,Leicester 1,U.S. House,27,,Scattering,2,,,,,
Livingston,Lima 1&2,U.S. House,27,,Scattering,5,,,,,
Livingston,Livonia 1-5,U.S. House,27,,Scattering,9,,,,,
Livingston,Mt. Morris 1-3,U.S. House,27,,Scattering,1,,,,,
Livingston,North Dansville 1-4,U.S. House,27,,Scattering,6,,,,,
Livingston,Nunda 1&2,U.S. House,27,,Scattering,3,,,,,
Livingston,Ossian 1,U.S. House,27,,Scattering,1,,,,,
Livingston,Portage 1,U.S. House,27,,Scattering,0,,,,,
Livingston,Sparta 1,U.S. House,27,,Scattering,1,,,,,
Livingston,Springwater 1,U.S. House,27,,Scattering,1,,,,,
Livingston,West Sparta 1,U.S. House,27,,Scattering,0,,,,,
Livingston,York 1&2,U.S. House,27,,Scattering,1,,,,,
Livingston,Avon 1-4,U.S. House,27,,Voids,5,,,,,
Livingston,Caledonia 1-3,U.S. House,27,,Voids,1,,,,,
Livingston,Conesus 1&2,U.S. House,27,,Voids,0,,,,,
Livingston,Geneseo 1-5,U.S. House,27,,Voids,5,,,,,
Livingston,Groveland 1&2,U.S. House,27,,Voids,0,,,,,
Livingston,Leicester 1,U.S. House,27,,Voids,0,,,,,
Livingston,Lima 1&2,U.S. House,27,,Voids,0,,,,,
Livingston,Livonia 1-5,U.S. House,27,,Voids,1,,,,,
Livingston,Mt. Morris 1-3,U.S. House,27,,Voids,1,,,,,
Livingston,North Dansville 1-4,U.S. House,27,,Voids,0,,,,,
Livingston,Nunda 1&2,U.S. House,27,,Voids,0,,,,,
Livingston,Ossian 1,U.S. House,27,,Voids,0,,,,,
Livingston,Portage 1,U.S. House,27,,Voids,0,,,,,
Livingston,Sparta 1,U.S. House,27,,Voids,0,,,,,
Livingston,Springwater 1,U.S. House,27,,Voids,1,,,,,
Livingston,West Sparta 1,U.S. House,27,,Voids,0,,,,,
Livingston,York 1&2,U.S. House,27,,Voids,1,,,,,
Livingston,Avon 1-4,U.S. House,27,,Blanks,9,,,,,
Livingston,Caledonia 1-3,U.S. House,27,,Blanks,4,,,,,
Livingston,Conesus 1&2,U.S. House,27,,Blanks,1,,,,,
Livingston,Geneseo 1-5,U.S. House,27,,Blanks,15,,,,,
Livingston,Groveland 1&2,U.S. House,27,,Blanks,3,,,,,
Livingston,Leicester 1,U.S. House,27,,Blanks,7,,,,,
Livingston,Lima 1&2,U.S. House,27,,Blanks,7,,,,,
Livingston,Livonia 1-5,U.S. House,27,,Blanks,12,,,,,
Livingston,Mt. Morris 1-3,U.S. House,27,,Blanks,7,,,,,
Livingston,North Dansville 1-4,U.S. House,27,,Blanks,3,,,,,
Livingston,Nunda 1&2,U.S. House,27,,Blanks,3,,,,,
Livingston,Ossian 1,U.S. House,27,,Blanks,4,,,,,
Livingston,Portage 1,U.S. House,27,,Blanks,0,,,,,
Livingston,Sparta 1,U.S. House,27,,Blanks,0,,,,,
Livingston,Springwater 1,U.S. House,27,,Blanks,4,,,,,
Livingston,West Sparta 1,U.S. House,27,,Blanks,0,,,,,
Livingston,York 1&2,U.S. House,27,,Blanks,6,,,,,